player_name,team,position,minutes,yellowcards,yellow_cards_per_90
Ali AHMED,Canada,FW,258.05943333333335,0.0,0.0
Richie LARYEA,Canada,DF,475.81683333333336,1.0,0.18914841530406834
Niko SIGUR,Canada,DF,147.76720000000003,1.0,0.6090661527050657
Promise DAVID,Canada,FW,105.79888333333334,0.0,0.0
Daniel MUNOZ,Colombia,DF,451.5522,0.0,0.0
Jhon LUCUMI,Colombia,DF,538.5115333333333,1.0,0.167127339767282
Luis DIAZ,Colombia,FW,525.3198833333333,0.0,0.0
Jhon CORDOBA,Colombia,FW,108.97021666666669,0.0,0.0
Gustavo PUERTA,Colombia,DF,520.12345,1.0,0.1730358437021057
Johan MOJICA,Colombia,DF,442.1325000000001,1.0,0.20355888788994242
Jaminton CAMPAZ,Colombia,FW,98.95519999999998,0.0,0.0
Deiver MACHADO,Colombia,DF,99.07828333333332,0.0,0.0
Davinson SANCHEZ,Colombia,DF,541.2107833333333,1.0,0.16629380413613956
Luis SUAREZ,Colombia,FW,365.9254666666666,1.0,0.24595172568840074
Aaron WAN-BISSAKA,Congo DR,DF,399.45593333333335,0.0,0.0
Steve KAPUADI,Congo DR,DF,201.61121666666668,0.0,0.0
Axel Tuanzebe,Congo DR,DF,409.64515,0.0,0.0
Brian CIPENGA,Congo DR,FW,160.4582,0.0,0.0
Cedric BAKAMBU,Congo DR,FW,210.44096666666667,0.0,0.0
Yoane WISSA,Congo DR,FW,409.64515,0.0,0.0
Chancel MBEMBA,Congo DR,DF,409.64515,1.0,0.21970234482209786
Arthur MASUAKU,Congo DR,DF,340.13873333333333,0.0,0.0
Ousmane DIOMANDE,Côte d'Ivoire,DF,100.3033,0.0,0.0
Ghislain KONAN,Côte d'Ivoire,DF,303.6422166666667,0.0,0.0
Wilfried SINGO,Côte d'Ivoire,DF,190.212,0.0,0.0
Odilon KOSSOUNOU,Côte d'Ivoire,DF,316.45065,0.0,0.0
Ange-Yoan BONNY,Côte d'Ivoire,FW,258.40035,0.0,0.0
Yan DIOMANDE,Côte d'Ivoire,FW,361.77293333333336,0.0,0.0
Elye WAHI,Côte d'Ivoire,FW,127.6534,0.0,0.0
Christopher OPERI,Côte d'Ivoire,DF,100.3033,0.0,0.0
Amad DIALLO,Côte d'Ivoire,FW,211.6427833333333,0.0,0.0
Guela DOUE,Côte d'Ivoire,DF,311.1920166666667,1.0,0.2892105040612385
Nicolas PEPE,Côte d'Ivoire,FW,255.34333333333336,1.0,0.35246661357910264
Emmanuel AGBADOU,Côte d'Ivoire,DF,308.62403333333333,0.0,0.0
Bazoumana TOURE,Côte d'Ivoire,FW,94.28641666666668,0.0,0.0
Josip STANISIC,Croatia,DF,413.6551,0.0,0.0
Marin PONGRACIC,Croatia,DF,311.6383,0.0,0.0
Josko GVARDIOL,Croatia,DF,177.70013333333333,0.0,0.0
Josip SUTALO,Croatia,DF,413.6551,0.0,0.0
Ante BUDIMIR,Croatia,FW,168.35075,0.0,0.0
Ivan PERISIC,Croatia,FW,413.6551,2.0,0.43514512452523857
Igor MATANOVIC,Croatia,FW,125.78868333333332,0.0,0.0
Marco PASALIC,Croatia,FW,114.96139999999995,0.0,0.0
Petar Musa,Croatia,FW,119.51566666666665,0.0,0.0
Jurien GAARI,Curaçao,DF,180.07026666666667,1.0,0.4998048909795953
Sherel FLORANUS,Curaçao,DF,300.2891666666667,0.0,0.0
Juergen LOCADIA,Curaçao,FW,250.2231333333333,0.0,0.0
Armando OBISPO,Curaçao,DF,300.2891666666667,0.0,0.0
Joshua BRENET,Curaçao,DF,193.20503333333332,0.0,0.0
Riechedly Bazoer,Curaçao,DF,100.35128333333331,0.0,0.0
Deveron FONVILLE,Curaçao,DF,260.45285,0.0,0.0
Tomas HOLES,Czechia,DF,169.3678,0.0,0.0
Robin HRANAC,Czechia,DF,301.0626833333333,0.0,0.0
Vladimir COUFAL,Czechia,DF,301.0626833333333,0.0,0.0
Stepan CHALOUPEK,Czechia,DF,99.60738333333332,0.0,0.0
Ladislav KREJCI,Czechia,DF,301.0626833333333,1.0,0.29894106769902457
Adam HLOZEK,Czechia,FW,172.08943333333335,0.0,0.0
Patrik Schick,Czechia,FW,199.70201666666668,0.0,0.0
Pavel SULC,Czechia,FW,209.1443833333333,0.0,0.0
Jaroslav ZELENY,Czechia,DF,142.47899999999998,0.0,0.0
David DOUDERA,Czechia,DF,100.11358333333334,0.0,0.0
Piero HINCAPIE,Ecuador,DF,376.90566666666666,1.0,0.23878653986806603
Joel ORDONEZ,Ecuador,DF,253.95265,0.0,0.0
Willian PACHO,Ecuador,DF,407.5486833333333,0.0,0.0
Pervis ESTUPINAN,Ecuador,DF,100.64024999999998,0.0,0.0
John YEBOAH,Ecuador,FW,330.2797333333333,0.0,0.0
Kevin RODRIGUEZ,Ecuador,FW,146.07506666666666,0.0,0.0
Enner VALENCIA,Ecuador,FW,311.6652,0.0,0.0
Angelo PRECIADO,Ecuador,DF,137.03359999999998,0.0,0.0
Gonzalo PLATA,Ecuador,FW,407.5486833333333,1.0,0.22083251321999525
Nilson ANGULO,Ecuador,FW,240.1682,0.0,0.0
YASSER IBRAHIM,Egypt,DF,533.0749166666666,2.0,0.3376636085703401
MOHAMED HANY,Egypt,DF,546.8373,0.0,0.0
RAMY RABIA,Egypt,DF,431.3935333333333,0.0,0.0
TREZEGUET,Egypt,FW,204.59315000000004,0.0,0.0
MOHAMED SALAH,Egypt,FW,469.05441666666667,0.0,0.0
Haissem HASSAN,Egypt,FW,138.7773666666667,2.0,1.2970414724206947
AHMED FATOUH,Egypt,DF,301.154,1.0,0.29885042204320716
KARIM HAFEZ,Egypt,DF,198.56878333333333,0.0,0.0
OMAR MARMOUSH,Egypt,FW,369.5523166666667,0.0,0.0
Ezri KONSA,England,DF,739.9730333333333,0.0,0.0
Nico OREILLY,England,DF,523.8012333333332,1.0,0.17182090127444657
John STONES,England,DF,380.0392,0.0,0.0
Marc GUEHI,England,DF,761.0425166666666,1.0,0.11825883315191917
Bukayo SAKA,England,FW,411.64058333333327,0.0,0.0
Harry KANE,England,FW,732.08485,0.0,0.0
Marcus RASHFORD,England,FW,258.79611666666665,0.0,0.0
Anthony GORDON,England,FW,442.2114,0.0,0.0
Noni MADUEKE,England,FW,315.5636666666667,0.0,0.0
Reece JAMES,England,DF,368.5178166666666,0.0,0.0
Djed SPENCE,England,DF,476.1069333333333,0.0,0.0
Jarell QUANSAH,England,DF,208.85296666666667,1.0,0.4309251692059597
Malo GUSTO,France,DF,143.18519999999995,0.0,0.0
Lucas Digne,France,DF,513.2927333333332,0.0,0.0
Dayot UPAMECANO,France,DF,740.7061,0.0,0.0
Jules KOUNDE,France,DF,666.8922333333333,0.0,0.0
Ousmane DEMBELE,France,FW,648.6526333333333,0.0,0.0
Kylian MBAPPE,France,FW,769.7895666666667,1.0,0.11691506860727782
Michael OLISE,France,FW,719.9583500000001,1.0,0.1250072313210896
Bradley BARCOLA,France,FW,432.7750833333334,1.0,0.2079602164403719
William SALIBA,France,DF,533.55995,0.0,0.0
Theo HERNANDEZ,France,DF,296.7847,0.0,0.0
Desire DOUE,France,FW,449.67855,0.0,0.0
Maxence Lacroix,France,DF,276.5174833333333,0.0,0.0
Antonio RUEDIGER,Germany,DF,300.8625833333333,0.0,0.0
Jonathan TAH,Germany,DF,419.8085333333333,0.0,0.0
Joshua KIMMICH,Germany,DF,392.5518666666667,0.0,0.0
Kai HAVERTZ,Germany,FW,392.96203333333335,1.0,0.2290297595331729
Nico SCHLOTTERBECK,Germany,DF,152.47841666666667,0.0,0.0
Nathaniel BROWN,Germany,DF,319.2588166666667,0.0,0.0
David RAUM,Germany,DF,123.68744999999998,0.0,0.0
Deniz UNDAV,Germany,FW,174.76788333333337,0.0,0.0
Alidu SEIDU,Ghana,DF,92.28446666666667,1.0,0.9752453825743155
Jonas ADJETEY,Ghana,DF,257.2873166666667,0.0,0.0
Abdul FATAWU,Ghana,FW,163.103,1.0,0.5517985567402193
Jordan AYEW,Ghana,FW,323.8484666666667,0.0,0.0
Gideon MENSAH,Ghana,DF,414.31466666666665,0.0,0.0
Jerome OPOKU,Ghana,DF,313.8529,0.0,0.0
Inaki WILLIAMS,Ghana,FW,140.27208333333334,1.0,0.6416102039785773
Kamaldeen SULEMANA,Ghana,FW,136.32618333333335,0.0,0.0
Derrick LUCKASSEN,Ghana,DF,205.15231666666665,0.0,0.0
Ernest NUAMAH,Ghana,FW,109.22153333333333,0.0,0.0
Marvin SENAYA,Ghana,DF,312.75865,0.0,0.0
Carlens ARCUS,Haiti,DF,171.92673333333337,1.0,0.5234787996902555
Ricardo Ade,Haiti,DF,306.90215,0.0,0.0
Hannes DELCROIX,Haiti,DF,306.90215,0.0,0.0
Martin EXPERIENCE,Haiti,DF,306.90215,0.0,0.0
Louicius DEEDSON,Haiti,FW,129.93523333333334,0.0,0.0
Ruben PROVIDENCE,Haiti,FW,237.10235,0.0,0.0
Lenny JOSEPH,Haiti,FW,134.9916166666667,0.0,0.0
Wilson Isidor,Haiti,FW,201.41621666666663,0.0,0.0
Frantzdy Pierrot,Haiti,FW,168.96856666666667,1.0,0.532643448278447
Josue CASIMIR,Haiti,FW,208.59925,1.0,0.43144929811588484
Jean-Kevin DUVERNE,Haiti,DF,186.09703333333331,0.0,0.0
Saleh HARDANI,IR Iran,DF,107.24193333333336,0.0,0.0
Ehsan HAJISAFI,IR Iran,DF,104.6295,1.0,0.8601780568577696
Shoja KHALILZADEH,IR Iran,DF,309.4855833333333,1.0,0.2908051452046636
Milad MOHAMMADI,IR Iran,DF,235.64893333333333,0.0,0.0
Mehdi TAREMI,IR Iran,FW,293.7564,0.0,0.0
Hossein KANANI,IR Iran,DF,154.11788333333334,1.0,0.5839685703789729
Ali NEMATI,IR Iran,DF,309.4855833333333,1.0,0.2908051452046636
Shahriyar MOGHANLOO,IR Iran,FW,108.96733333333334,0.0,0.0
Ramin REZAEIAN,IR Iran,DF,309.4855833333333,0.0,0.0
Hussein Ali,Iraq,DF,174.00081666666665,0.0,0.0
ZAID TAHSEEN,Iraq,DF,165.5404,1.0,0.5436739309558271
AKAM HASHIM,Iraq,DF,303.8828666666667,0.0,0.0
ALI ALHAMADI,Iraq,FW,201.13346666666664,0.0,0.0
AHMED QASEM,Iraq,FW,135.66948333333335,0.0,0.0
ALI JASIM,Iraq,FW,144.94455,0.0,0.0
AYMEN HUSSEIN,Iraq,FW,128.68598333333333,0.0,0.0
MERCHAS DOSKI,Iraq,DF,303.8828666666667,1.0,0.29616674670481585
FRANS PUTROS,Iraq,DF,105.23488333333331,0.0,0.0
Yukinari Sugawara,Japan,DF,181.66255,0.0,0.0
Shogo TANIGUCHI,Japan,DF,267.5332333333333,1.0,0.3364068040394234
Kou ITAKURA,Japan,DF,138.28586666666666,0.0,0.0
Tsuyoshi Watanabe,Japan,DF,99.72338333333332,0.0,0.0
Ayase UEDA,Japan,FW,349.8537166666666,0.0,0.0
Ayumu SEKO,Japan,DF,97.65581666666664,0.0,0.0
Hiroki ITO,Japan,DF,405.81909999999993,0.0,0.0
Takehiro TOMIYASU,Japan,DF,208.4399,0.0,0.0
ABDALLAH NASIB,Jordan,DF,287.09605,0.0,0.0
HUSAM ABUDAHAB,Jordan,DF,190.9975,1.0,0.47121035615649426
YAZAN ALARAB,Jordan,DF,309.4485,1.0,0.2908399943770934
ALI OLWAN,Jordan,FW,297.3423833333334,0.0,0.0
MOUSA ALTAMARI,Jordan,FW,230.20638333333332,0.0,0.0
ODEH FAKHOURY,Jordan,FW,163.6099166666667,0.0,0.0
MAHMOUD ALMARDI,Jordan,FW,152.90375,0.0,0.0
EHSAN HADDAD,Jordan,DF,287.62228333333337,0.0,0.0
LEE Hanbeom,Korea Republic,DF,300.0228,0.0,0.0
KIM Minjae,Korea Republic,DF,268.94835,0.0,0.0
SON Heungmin,Korea Republic,FW,183.8744666666667,0.0,0.0
LEE Taeseok,Korea Republic,DF,120.47548333333332,0.0,0.0
OH Hyeongyu,Korea Republic,FW,145.04273333333333,0.0,0.0
SEOL Youngwoo,Korea Republic,DF,274.67033333333336,0.0,0.0
Jorge SANCHEZ,Mexico,DF,388.0640000000001,1.0,0.23192050795745026
Cesar MONTES,Mexico,DF,349.6178666666666,0.0,0.0
Edson ALVAREZ,Mexico,DF,278.9715333333333,1.0,0.3226135617660392
Johan VASQUEZ,Mexico,DF,412.8016,1.0,0.21802241076584972
Raul JIMENEZ,Mexico,FW,348.9852,0.0,0.0
Santiago GIMENEZ,Mexico,FW,117.51943333333334,0.0,0.0
Israel REYES,Mexico,DF,237.23881666666668,0.0,0.0
Julian QUINONES,Mexico,FW,440.15866666666665,0.0,0.0
Jesus GALLARDO,Mexico,DF,431.4214333333333,0.0,0.0
Roberto ALVARADO,Mexico,FW,476.7946333333333,0.0,0.0
Achraf HAKIMI,Morocco,DF,650.4326666666667,1.0,0.13836943408951374
Noussair MAZRAOUI,Morocco,DF,542.1143,0.0,0.0
Soufiane RAHIMI,Morocco,FW,215.49868333333336,0.0,0.0
Brahim DIAZ,Morocco,FW,500.45925,0.0,0.0
Issa Diop,Morocco,DF,534.4722666666667,3.0,0.5051712068876913
Chadi RIAD,Morocco,DF,390.04965,0.0,0.0
Redouane HALHAL,Morocco,DF,208.51815,1.0,0.431617103834846
Anass SALAH EDDINE,Morocco,DF,240.6580333333333,0.0,0.0
Virgil VAN DIJK,Netherlands,DF,432.60131666666666,0.0,0.0
Nathan AKE,Netherlands,DF,189.96725000000004,0.0,0.0
Jan Paul VAN HECKE,Netherlands,DF,432.60131666666666,0.0,0.0
Cody GAKPO,Netherlands,FW,394.13865,0.0,0.0
Micky VAN DE VEN,Netherlands,DF,291.4253,1.0,0.30882699614618225
Donyell Malen,Netherlands,FW,197.08256666666665,0.0,0.0
Brian BROBBEY,Netherlands,FW,245.16461666666672,0.0,0.0
Denzel DUMFRIES,Netherlands,DF,432.60131666666666,0.0,0.0
Crysencio SUMMERVILLE,Netherlands,FW,282.13658333333336,1.0,0.3189944350239349
Tim PAYNE,New Zealand,DF,241.8867,0.0,0.0
Tyler BINDON,New Zealand,DF,120.39001666666668,0.0,0.0
Michael BOXALL,New Zealand,DF,237.0472333333333,0.0,0.0
Chris WOOD,New Zealand,FW,306.77251666666666,0.0,0.0
Liberato CACACE,New Zealand,DF,237.3247,0.0,0.0
Finn SURMAN,New Zealand,DF,306.77251666666666,0.0,0.0
Kristoffer AJER,Norway,DF,554.9256166666667,1.0,0.16218389870089797
Leo OSTIGARD,Norway,DF,184.6957833333333,0.0,0.0
David MOLLER WOLFE,Norway,DF,477.59751666666665,0.0,0.0
Alexander SORLOTH,Norway,FW,363.11565,0.0,0.0
Erling HAALAND,Norway,FW,537.7782333333333,0.0,0.0
Jorgen STRAND LARSEN,Norway,FW,117.39786666666666,0.0,0.0
Marcus HOLMGREN PEDERSEN,Norway,DF,273.42813333333334,0.0,0.0
Torbjorn HEGGEM,Norway,DF,503.2486666666667,0.0,0.0
Antonio NUSA,Norway,FW,357.44168333333334,1.0,0.2517893245149873
Julian RYERSON,Norway,FW,248.28936666666664,0.0,0.0
Cesar BLACKMAN,Panama,DF,187.2241,1.0,0.4807073448343456
Jose CORDOBA,Panama,DF,303.7823333333333,0.0,0.0
Fidel ESCOBAR,Panama,DF,98.92756666666666,0.0,0.0
Jiovany RAMOS,Panama,DF,186.41256666666663,0.0,0.0
Carlos HARVEY,Panama,DF,295.1525833333333,1.0,0.30492702785649567
Andres ANDRADE,Panama,DF,303.7823333333333,1.0,0.296264759745739
Jose FAJARDO,Panama,FW,176.14315,1.0,0.5109480556013675
Amir MURILLO,Panama,DF,303.7823333333333,0.0,0.0
Jorge GUTIERREZ,Panama,DF,90.27498333333332,0.0,0.0
Gustavo VELAZQUEZ,Paraguay,DF,293.80675,0.0,0.0
Omar ALDERETE,Paraguay,DF,363.09106666666673,0.0,0.0
Juan Jose CACERES,Paraguay,DF,488.06975000000006,1.0,0.184399873173865
Junior ALONSO,Paraguay,DF,456.2400166666667,1.0,0.19726459037405053
Antonio SANABRIA,Paraguay,FW,95.1296,0.0,0.0
Jose CANALE,Paraguay,DF,198.4358166666667,0.0,0.0
Gustavo GOMEZ,Paraguay,DF,554.4526166666667,0.0,0.0
Julio ENCISO,Paraguay,FW,431.2478333333334,0.0,0.0
Gabriel AVALOS,Paraguay,FW,170.38978333333336,0.0,0.0
NELSON SEMEDO,Portugal,DF,164.07330000000002,1.0,0.5485353192749826
RUBEN DIAS,Portugal,DF,418.1383,1.0,0.21523979027991455
TOMAS ARAUJO,Portugal,DF,100.4419,1.0,0.8960403974835203
CRISTIANO RONALDO,Portugal,FW,490.59275,0.0,0.0
JOAO FELIX,Portugal,FW,218.9718333333333,0.0,0.0
RENATO VEIGA,Portugal,DF,518.5802,2.0,0.3471015669321737
RAFAEL LEAO,Portugal,FW,203.5586,0.0,0.0
PEDRO NETO,Portugal,FW,381.3532,0.0,0.0
JOAO CANCELO,Portugal,DF,342.90718333333336,0.0,0.0
NUNO MENDES,Portugal,DF,447.5041,0.0,0.0
FRANCISCO CONCEICAO,Portugal,FW,163.2558666666667,0.0,0.0
PEDRO MIGUEL,Qatar,DF,310.32276666666667,0.0,0.0
ISSA LAYE,Qatar,DF,310.32276666666667,0.0,0.0
JASSEM GABER,Qatar,DF,166.995,1.0,0.5389382915656157
EDMILSON JUNIOR,Qatar,FW,228.7278333333333,0.0,0.0
AKRAM AFIF,Qatar,FW,269.0622166666667,0.0,0.0
AYOUB ALOUI,Qatar,DF,170.81786666666667,0.0,0.0
HOMAM AHMED,Qatar,DF,134.29381666666666,0.0,0.0
YUSUF ABDURISAG,Qatar,FW,105.7332,0.0,0.0
BOUALEM KHOUKHI,Qatar,DF,310.32276666666667,0.0,0.0
SULTAN ALBRAKE,Qatar,DF,167.11928333333333,0.0,0.0
MOHAMED MANAI,Qatar,FW,91.45998333333334,0.0,0.0
ALI LAJAMI,Saudi Arabia,DF,177.82118333333335,0.0,0.0
Abdulelah ALAMRI,Saudi Arabia,DF,268.4348,1.0,0.3352769462081668
HASSAN ALTAMBAKTI,Saudi Arabia,DF,237.7206833333333,0.0,0.0
FERAS ALBRIKAN,Saudi Arabia,FW,262.48803333333336,1.0,0.3428727735016745
SALEM ALDAWSARI,Saudi Arabia,FW,276.45325,1.0,0.32555233118076926
SAUD ABDULHAMID,Saudi Arabia,DF,300.7658,1.0,0.29923614985480396
NAWAF BU WASHL,Saudi Arabia,DF,104.76098333333334,0.0,0.0
MOTEB ALHARBI,Saudi Arabia,DF,213.11866666666668,0.0,0.0
MOHAMMED ABU ALSHAMAT,Saudi Arabia,DF,153.4976666666667,0.0,0.0
Andy ROBERTSON,Scotland,DF,255.4343166666667,1.0,0.3523410682420053
Grant Hanley,Scotland,DF,203.89001666666667,0.0,0.0
Kieran Tierney,Scotland,DF,115.54021666666668,0.0,0.0
Che Adams,Scotland,FW,160.21568333333337,0.0,0.0
Jack Hendry,Scotland,DF,306.7999,0.0,0.0
Ben GANNON-DOAK,Scotland,FW,204.07465,0.0,0.0
Lawrence SHANKLAND,Scotland,FW,183.83883333333333,0.0,0.0
Nathan PATTERSON,Scotland,DF,204.07143333333332,0.0,0.0
Scott MCKENNA,Scotland,DF,102.90988333333334,0.0,0.0
Kalidou KOULIBALY,Senegal,DF,181.54228333333333,0.0,0.0
Sadio MANE,Senegal,FW,421.1175833333333,0.0,0.0
Nicolas JACKSON,Senegal,FW,271.6193333333333,0.0,0.0
Iliman NDIAYE,Senegal,FW,134.1735,0.0,0.0
Ismail JAKOBS,Senegal,DF,257.1438,0.0,0.0
Krepin DIATTA,Senegal,DF,459.91825,0.0,0.0
Ismaila SARR,Senegal,FW,419.21035,0.0,0.0
Moussa Niakhate,Senegal,DF,459.91825,0.0,0.0
Ibrahim MBAYE,Senegal,FW,203.6836166666667,0.0,0.0
El Hadji Malick DIOUF,Senegal,DF,202.77445,0.0,0.0
Aubrey MODIBA,South Africa,DF,381.26880000000006,1.0,0.2360539336027495
Oswin APPOLLIS,South Africa,FW,287.5561666666667,0.0,0.0
Relebohile MOFOKENG,South Africa,FW,184.2044,0.0,0.0
Thapelo MASEKO,South Africa,FW,255.94675,0.0,0.0
Mbekezeli MBOKAZI,South Africa,DF,402.1005333333334,0.0,0.0
Iqraam RAYNERS,South Africa,FW,182.0806,0.0,0.0
Evidence MAKGOPA,South Africa,FW,241.34380000000004,0.0,0.0
Nkosinathi SIBISI,South Africa,DF,101.00468333333332,1.0,0.891047791348289
Khuliso MUDAU,South Africa,DF,402.1005333333334,0.0,0.0
Ime OKON,South Africa,DF,402.1005333333334,0.0,0.0
Marcos LLORENTE,Spain,DF,217.34131666666667,0.0,0.0
Ferran TORRES,Spain,FW,349.2808333333333,1.0,0.25767231239427685
Dani OLMO,Spain,FW,535.375,0.0,0.0
Pedro PORRO,Spain,DF,640.0823333333334,0.0,0.0
Aymeric LAPORTE,Spain,DF,824.1481833333335,1.0,0.1092036624238954
Nico WILLIAMS,Spain,FW,159.79630000000003,0.0,0.0
Lamine YAMAL,Spain,FW,697.6448833333333,0.0,0.0
Mikel OYARZABAL,Spain,FW,664.9475333333335,0.0,0.0
Pau CUBARSI,Spain,DF,857.4236500000001,1.0,0.10496561413952134
Marc CUCURELLA,Spain,DF,857.4236500000001,1.0,0.10496561413952134
Gustaf LAGERBIELKE,Sweden,DF,400.9159166666667,0.0,0.0
Victor LINDELOF,Sweden,DF,390.7919166666667,0.0,0.0
