group,n,mean,standard_deviation,standard_error,df,t_critical,ci_lower,ci_upper
At least 1 clean sheet,20,72.98294991341498,9.726125565345544,2.1748277921811208,19,2.0930240544083087,68.43098303018418,77.53491679664579
No clean sheet,20,59.15291944897208,12.200368679599556,2.728085371814396,19,2.0930240544083087,53.442971143285114,64.86286775465905
