group,n,mean,standard_deviation,standard_error,df,t_critical,ci_lower,ci_upper
DF,30,0.06589511343511158,0.14280800172701058,0.026073054646040136,29,2.045229642132704,0.012569729212084477,0.11922049765813868
FW,30,0.09689852361520099,0.25372329939583954,0.0463233248145794,29,2.045229642132704,0.0021566865822817555,0.19164036064812023
