group,n,mean,median,standard_deviation,variance,minimum,Q1,Q3,IQR,maximum,range
At least 1 clean sheet,20,72.98294991341498,76.46153846153847,9.726125565345544,94.59751851286818,53.84615384615385,68.28947368421052,78.4324942791762,10.143020594965677,87.5,33.65384615384615
No clean sheet,20,59.15291944897208,61.53846153846154,12.200368679599556,148.8489959181538,35.294117647058826,50.0,66.66666666666666,16.666666666666657,78.57142857142857,43.27731092436974
