year,n,mean,standard_deviation,standard_error,df,t_critical,ci_lower,ci_upper
2022,30,1.807646502784301,0.7762811418220442,0.14172889744726688,29,2.045229642132704,1.5177783605783646,2.097514644990237
2026,30,1.372397053476448,0.5358446804560014,0.09783140626829986,29,2.045229642132704,1.172309361444994,1.572484745507902
