group,n,mean,median,standard_deviation,variance,minimum,Q1,Q3,IQR,maximum,range
DF,30,0.06589511343511158,0.0,0.14280800172701058,0.020394125357261858,0.0,0.0,0.0,0.0,0.5485353192749826,0.5485353192749826
FW,30,0.09689852361520099,0.0,0.25372329939583954,0.06437551265631083,0.0,0.0,0.0,0.0,1.2970414724206947,1.2970414724206947
