year,n,mean,median,standard_deviation,variance,minimum,Q1,Q3,IQR,maximum,range
2022,30,1.807646502784301,1.75,0.7762811418220442,0.6026124111485367,0.2,1.2371575342465753,2.3333333333333335,1.0961757990867582,4.0,3.8
2026,30,1.372397053476448,1.3666666666666667,0.5358446804560014,0.2871295215729943,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666667,2.3333333333333335,2.0
