player_id,player_name,team_id,team,team_code,position_raw
358106,Thibaut COURTOIS,43935,Belgium,BEL,Goalkeeper
448369,Zeno DEBAST,43935,Belgium,BEL,Defender
448346,Arthur THEATE,43935,Belgium,BEL,Defender
448360,Brandon MECHELE,43935,Belgium,BEL,Defender
448373,Maxim DE CUYPER,43935,Belgium,BEL,Defender
290821,Axel WITSEL,43935,Belgium,BEL,Midfielder
358120,Kevin DE BRUYNE,43935,Belgium,BEL,Midfielder
401444,Youri TIELEMANS,43935,Belgium,BEL,Midfielder
358112,Romelu LUKAKU,43935,Belgium,BEL,Forward
448355,Leandro TROSSARD,43935,Belgium,BEL,Forward
448341,Jeremy DOKU,43935,Belgium,BEL,Forward
495348,Senne LAMMENS,43935,Belgium,BEL,Goalkeeper
499803,Mike PENDERS,43935,Belgium,BEL,Goalkeeper
448377,Dodi LUKEBAKIO,43935,Belgium,BEL,Forward
358122,Thomas MEUNIER,43935,Belgium,BEL,Defender
448366,Koni DE WINTER,43935,Belgium,BEL,Defender
448362,Charles DE KETELAERE,43935,Belgium,BEL,Forward
506088,Joaquin SEYS,43935,Belgium,BEL,Defender
497902,Diego MOREIRA,43935,Belgium,BEL,Midfielder
448343,Hans VANAKEN,43935,Belgium,BEL,Midfielder
411443,Timothy CASTAGNE,43935,Belgium,BEL,Defender
433092,Alexis SAELEMAEKERS,43935,Belgium,BEL,Midfielder
495349,Nicolas RASKIN,43935,Belgium,BEL,Midfielder
448364,Amadou ONANA,43935,Belgium,BEL,Midfielder
514166,Nathan NGOY,43935,Belgium,BEL,Defender
494025,Matias FERNANDEZ-PARDO,43935,Belgium,BEL,Forward
482978,Nikola VASILJ,44037,Bosnia and Herzegovina,BIH,Goalkeeper
482969,Nihad MUJAKIC,44037,Bosnia and Herzegovina,BIH,Defender
430194,Dennis HADZIKADUNIC,44037,Bosnia and Herzegovina,BIH,Defender
484022,Tarik MUHAREMOVIC,44037,Bosnia and Herzegovina,BIH,Defender
376230,Sead KOLASINAC,44037,Bosnia and Herzegovina,BIH,Defender
483966,Benjamin TAHIROVIC,44037,Bosnia and Herzegovina,BIH,Midfielder
482976,Amar DEDIC,44037,Bosnia and Herzegovina,BIH,Defender
489523,Armin GIGOVIC,44037,Bosnia and Herzegovina,BIH,Midfielder
485063,Samed BAZDAR,44037,Bosnia and Herzegovina,BIH,Forward
436743,Ermedin DEMIROVIC,44037,Bosnia and Herzegovina,BIH,Forward
300409,Edin DZEKO,44037,Bosnia and Herzegovina,BIH,Forward
522842,Mladen JURKAS,44037,Bosnia and Herzegovina,BIH,Goalkeeper
482974,Ivan BASIC,44037,Bosnia and Herzegovina,BIH,Midfielder
372436,Ivan SUNJIC,44037,Bosnia and Herzegovina,BIH,Midfielder
494640,Amar MEMIC,44037,Bosnia and Herzegovina,BIH,Midfielder
430196,Amir HADZIAHMETOVIC,44037,Bosnia and Herzegovina,BIH,Midfielder
389886,Dzenis BURNIC,44037,Bosnia and Herzegovina,BIH,Midfielder
489520,Nikola KATIC,44037,Bosnia and Herzegovina,BIH,Defender
504990,Kerim ALAJBEGOVIC,44037,Bosnia and Herzegovina,BIH,Forward
464566,Esmir BAJRAKTAREVIC,44037,Bosnia and Herzegovina,BIH,Forward
489521,Stjepan RADELJIC,44037,Bosnia and Herzegovina,BIH,Defender
491228,Martin ZLOMISLIC,44037,Bosnia and Herzegovina,BIH,Goalkeeper
482984,Haris TABAKOVIC,44037,Bosnia and Herzegovina,BIH,Forward
494639,Arjan MALIC,44037,Bosnia and Herzegovina,BIH,Defender
519954,Jovo LUKIC,44037,Bosnia and Herzegovina,BIH,Forward
522846,Ermin MAHMIC,44037,Bosnia and Herzegovina,BIH,Midfielder
308370,ALISSON,43924,Brazil,BRA,Goalkeeper
485069,EDERSON SILVA,43924,Brazil,BRA,Midfielder
430601,GABRIEL MAGALHAES,43924,Brazil,BRA,Defender
332946,MARQUINHOS,43924,Brazil,BRA,Defender
308386,CASEMIRO,43924,Brazil,BRA,Midfielder
335658,ALEX SANDRO,43924,Brazil,BRA,Defender
405742,VINICIUS JUNIOR,43924,Brazil,BRA,Forward
430605,BRUNO GUIMARAES,43924,Brazil,BRA,Midfielder
430609,MATHEUS CUNHA,43924,Brazil,BRA,Forward
314197,NEYMAR JR,43924,Brazil,BRA,Forward
433872,RAPHINHA,43924,Brazil,BRA,Forward
396315,WEVERTON,43924,Brazil,BRA,Goalkeeper
335656,DANILO,43924,Brazil,BRA,Defender
431889,BREMER,43924,Brazil,BRA,Defender
371956,LEO PEREIRA,43924,Brazil,BRA,Defender
