player_id,assists,attemptatgoal,attemptatgoalagainstontarget,attemptatgoalblocked,attemptatgoalfromballprogression,attemptatgoalfromcorner,attemptatgoalfromcross,attemptatgoalfromfreekick,attemptatgoalfromfreekicks,attemptatgoalfromother,attemptatgoalfrompass,attemptatgoalfrompenalty,attemptatgoalfromrebound,attemptatgoalinsidethepenaltyarea,attemptatgoalinsidethepenaltyareaontarget,attemptatgoalofftarget,attemptatgoalontarget,attemptatgoaloutsidethepenaltyarea,attemptatgoaloutsidethepenaltyareaontarget,attemptedballprogressions,attemptedswitchesofplay,avgspeed,completedballprogressions,completedswitchesofplay,corners,crosses,crossescompleted,defensivepressuresapplied,directdefensivepressuresapplied,directfreekicks,directredcards,distancehighspeedrunning,distancehighspeedsprinting,distancejogging,distancelowspeedsprinting,distancewalking,distributionscompletedunderpressure,distributionsunderpressure,forcedturnovers,foulsagainst,foulsfor,freekicks,gksaves,gksavesontarget,goalkeeperdefensiveactionsinsidepenaltyarea,goalkeeperdefensiveactionsoutsidepenaltyarea,goalkeepersavepercentage,goalkeepersaves,goalkeepersavesontarget,goalkicks,goals,goalsfromdirectfreekicks,goalsinsidethepenaltyarea,goalsoutsidethepenaltyarea,headedattemptatgoal,indirectfreekicks,indirectredcards,linebreaksattempted,linebreaksattemptedalllines,linebreaksattemptedattackingandmidfieldline,linebreaksattemptedattackingline,linebreaksattemptedattackinglinecompleted,linebreaksattemptedattackinglinecompletedonly,linebreaksattemptedattackinglineonly,linebreaksattemptedcompleted,linebreaksattempteddefensiveline,linebreaksattempteddefensivelinecompleted,linebreaksattempteddefensivelinecompletedonly,linebreaksattempteddefensivelineonly,linebreaksattemptedmidfieldanddefensiveline,linebreaksattemptedmidfieldline,linebreaksattemptedmidfieldlinecompleted,linebreaksattemptedmidfieldlinecompletedonly,linebreaksattemptedmidfieldlineonly,linebreaksattemptedunderpressure,linebreakscompletedalllines,linebreakscompletedattackingandmidfieldline,linebreakscompletedmidfieldanddefensiveline,linebreakscompletedunderpressure,matchesplayed,numberofinvolvements,numberofpossessionsequences,numberofshotendingsequences,offerstoreceiveinbehind,offerstoreceiveinbetween,offerstoreceiveinfront,offerstoreceiveinside,offerstoreceiveoutside,offerstoreceivetotal,offsides,owngoals,passes,passescompleted,penalties,penaltiesscored,receivedofferstoreceive,receptionsbetweenmidfieldanddefensiveline,receptionsinbehind,receptionsunderdirectpressure,receptionsunderindirectpressure,receptionsundernopressure,receptionsunderpressure,redcards,speedruns,sprints,substitutionsin,substitutionsout,takeonscompleted,threat,throwins,timeplayed,topspeed,totaldistance,xg,yellowcards
441341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.072413325309753,3.0,0.0,0.0,4.0,1.0,55.0,10.0,1.0,0.0,3028.179931640625,213.95000457763672,8671.609985351562,1062.97998046875,5852.3497314453125,32.0,43.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,1.0,5.0,3.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,4.0,6.0,0.0,0.0,0.0,3.0,3.0,134.0,62.0,1.0,8.0,9.0,19.0,23.0,13.0,36.0,0.0,0.0,58.0,50.0,0.0,0.0,14.0,7.0,2.0,9.0,32.0,24.0,41.0,0.0,262.0,74.0,1.0,2.0,2.0,0.40600888058543205,1.0,166.80685,29.170513153076172,18829.0703125,0.0,0.0
441342,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,22.0,1.0,6.211441278457642,11.0,1.0,2.0,7.0,1.0,50.0,5.0,1.0,0.0,2578.7399291992188,451.5600128173828,6319.9600830078125,1156.6399993896484,6309.719970703125,22.0,43.0,11.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,1.0,9.0,4.0,2.0,4.0,14.0,8.0,4.0,2.0,3.0,1.0,11.0,6.0,4.0,5.0,22.0,2.0,0.0,0.0,14.0,4.0,90.0,61.0,4.0,19.0,23.0,3.0,4.0,41.0,45.0,0.0,0.0,22.0,18.0,0.0,0.0,20.0,24.0,3.0,0.0,38.0,12.0,38.0,0.0,211.0,93.0,4.0,0.0,7.0,1.359874203801155,2.0,163.103,32.85761260986328,16816.6201171875,0.09803635440766811,1.0
441350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.54830014705658,2.0,1.0,0.0,0.0,0.0,54.0,8.0,0.0,0.0,2984.1800537109375,231.1300163269043,8362.72998046875,1167.949951171875,4727.109680175781,51.0,53.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,7.0,6.0,3.0,3.0,23.0,4.0,3.0,0.0,0.0,0.0,16.0,14.0,11.0,12.0,18.0,3.0,0.0,0.0,17.0,3.0,186.0,71.0,6.0,17.0,24.0,30.0,32.0,39.0,71.0,0.0,0.0,86.0,83.0,0.0,0.0,21.0,5.0,1.0,3.0,26.0,59.0,29.0,0.0,248.0,79.0,1.0,2.0,1.0,0.8684421330690384,0.0,143.15391666666665,29.79990005493164,17473.099609375,0.0,1.0
441362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4228014945983887,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,580.4500122070312,74.1500015258789,1658.969970703125,196.6300048828125,868.77001953125,1.0,2.0,3.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,6.0,8.0,3.0,13.0,4.0,17.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,38.0,18.0,1.0,0.0,0.0,0.165388286113739,0.0,27.907433333333344,28.55512046813965,3378.969970703125,0.0,0.0
441402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.740001916885376,1.0,2.0,0.0,1.0,0.0,44.0,6.0,0.0,0.0,1312.8199157714844,208.4199981689453,4134.1199951171875,442.0199966430664,3092.0900268554688,50.0,56.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,2.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,0.0,6.0,6.0,5.0,5.0,10.0,1.0,0.0,0.0,10.0,2.0,125.0,39.0,2.0,7.0,47.0,19.0,50.0,23.0,73.0,0.0,0.0,56.0,54.0,0.0,0.0,33.0,12.0,0.0,2.0,49.0,12.0,51.0,0.0,110.0,39.0,1.0,1.0,1.0,0.9555516242980957,0.0,81.52016666666668,31.068119049072266,9189.4697265625,0.08212576806545258,0.0
441622,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,4.873304653167724,4.0,12.0,0.0,0.0,0.0,29.0,12.0,9.0,0.0,3982.5101318359375,576.0900039672852,16339.560302734375,1333.3499298095703,21591.550537109375,65.0,82.0,11.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,81.0,6.0,16.0,42.0,29.0,19.0,20.0,48.0,6.0,1.0,0.0,0.0,0.0,33.0,18.0,8.0,11.0,45.0,1.0,9.0,0.0,22.0,5.0,605.0,211.0,15.0,0.0,1.0,23.0,5.0,19.0,24.0,0.0,0.0,285.0,262.0,0.0,0.0,13.0,4.0,0.0,8.0,32.0,240.0,40.0,0.0,350.0,115.0,0.0,1.0,1.0,0.3062337674200535,0.0,538.5115333333333,34.09806823730469,43823.0595703125,0.10776541754603386,1.0
441623,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,6.398842175801595,3.0,0.0,0.0,0.0,0.0,40.0,17.0,1.0,0.0,2571.0601196289062,211.06999969482422,9541.66015625,941.9199523925781,7841.6800537109375,66.0,83.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,5.0,10.0,6.0,3.0,3.0,28.0,4.0,2.0,1.0,1.0,1.0,29.0,20.0,16.0,21.0,25.0,0.0,3.0,1.0,15.0,3.0,296.0,102.0,13.0,1.0,20.0,72.0,73.0,20.0,93.0,0.0,0.0,136.0,118.0,0.0,0.0,45.0,4.0,0.0,4.0,57.0,81.0,61.0,0.0,239.0,72.0,0.0,3.0,0.0,0.37901151832193136,0.0,197.5157,31.818552017211914,21107.39013671875,0.08611596375703812,0.0
442428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.113182544708252,0.0,0.0,0.0,1.0,0.0,16.0,5.0,2.0,0.0,1107.1600341796875,178.1000213623047,3665.469970703125,340.739990234375,3069.919921875,16.0,19.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,8.0,7.0,5.0,5.0,11.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,5.0,1.0,83.0,31.0,2.0,2.0,9.0,15.0,1.0,25.0,26.0,0.0,0.0,42.0,38.0,0.0,0.0,11.0,2.0,0.0,0.0,5.0,29.0,5.0,0.0,103.0,30.0,0.0,1.0,0.0,0.024360254406929016,8.0,79.13776666666668,32.403114318847656,8361.390625,0.0,1.0
442429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
