player_id,player_name,team_id,team,team_code,position_raw,assists,shots,attemptatgoalagainstontarget,attemptatgoalblocked,attemptatgoalfromballprogression,attemptatgoalfromcorner,attemptatgoalfromcross,attemptatgoalfromfreekick,attemptatgoalfromfreekicks,attemptatgoalfromother,attemptatgoalfrompass,attemptatgoalfrompenalty,attemptatgoalfromrebound,attemptatgoalinsidethepenaltyarea,attemptatgoalinsidethepenaltyareaontarget,attemptatgoalofftarget,shots_on_target,attemptatgoaloutsidethepenaltyarea,attemptatgoaloutsidethepenaltyareaontarget,attemptedballprogressions,attemptedswitchesofplay,avgspeed,completedballprogressions,completedswitchesofplay,corners,crosses,crossescompleted,defensivepressuresapplied,directdefensivepressuresapplied,directfreekicks,directredcards,distancehighspeedrunning,distancehighspeedsprinting,distancejogging,distancelowspeedsprinting,distancewalking,distributionscompletedunderpressure,distributionsunderpressure,forcedturnovers,foulsagainst,foulsfor,freekicks,gksaves,gksavesontarget,goalkeeperdefensiveactionsinsidepenaltyarea,goalkeeperdefensiveactionsoutsidepenaltyarea,goalkeepersavepercentage,goalkeepersaves,goalkeepersavesontarget,goalkicks,goals,goalsfromdirectfreekicks,goalsinsidethepenaltyarea,goalsoutsidethepenaltyarea,headedattemptatgoal,indirectfreekicks,indirectredcards,linebreaksattempted,linebreaksattemptedalllines,linebreaksattemptedattackingandmidfieldline,linebreaksattemptedattackingline,linebreaksattemptedattackinglinecompleted,linebreaksattemptedattackinglinecompletedonly,linebreaksattemptedattackinglineonly,linebreaksattemptedcompleted,linebreaksattempteddefensiveline,linebreaksattempteddefensivelinecompleted,linebreaksattempteddefensivelinecompletedonly,linebreaksattempteddefensivelineonly,linebreaksattemptedmidfieldanddefensiveline,linebreaksattemptedmidfieldline,linebreaksattemptedmidfieldlinecompleted,linebreaksattemptedmidfieldlinecompletedonly,linebreaksattemptedmidfieldlineonly,linebreaksattemptedunderpressure,linebreakscompletedalllines,linebreakscompletedattackingandmidfieldline,linebreakscompletedmidfieldanddefensiveline,linebreakscompletedunderpressure,matchesplayed,numberofinvolvements,numberofpossessionsequences,numberofshotendingsequences,offerstoreceiveinbehind,offerstoreceiveinbetween,offerstoreceiveinfront,offerstoreceiveinside,offerstoreceiveoutside,offerstoreceivetotal,offsides,owngoals,passes_attempted,passes_completed,penalties,penaltiesscored,receivedofferstoreceive,receptionsbetweenmidfieldanddefensiveline,receptionsinbehind,receptionsunderdirectpressure,receptionsunderindirectpressure,receptionsundernopressure,receptionsunderpressure,redcards,speedruns,sprints,substitutionsin,substitutionsout,takeonscompleted,threat,throwins,minutes,topspeed,totaldistance,xg,yellowcards,position,pass_completion_rate
441167,Tomas HOLES,43995,Czechia,CZE,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.109429677327474,1.0,3.0,0.0,0.0,0.0,37.0,7.0,2.0,0.0,2429.0399780273438,267.57999420166016,7686.63037109375,744.0199890136719,6355.870361328125,34.0,41.0,8.0,2.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,8.0,15.0,11.0,6.0,6.0,21.0,1.0,0.0,0.0,0.0,0.0,16.0,10.0,5.0,7.0,14.0,0.0,5.0,0.0,10.0,2.0,146.0,64.0,3.0,2.0,0.0,10.0,3.0,9.0,12.0,0.0,0.0,66.0,55.0,0.0,0.0,5.0,2.0,0.0,1.0,14.0,50.0,15.0,0.0,203.0,58.0,0.0,1.0,1.0,0.209339439868927,0.0,169.3678,32.493499755859375,17483.1396484375,0.0,0.0,DF,83.33333333333334
403312,Abdulelah ALAMRI,43835,Saudi Arabia,KSA,Defender,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,5.669818719228108,1.0,0.0,0.0,1.0,1.0,23.0,5.0,4.0,0.0,2772.4098510742188,387.12001037597656,9589.150146484375,1075.3599548339844,11383.7001953125,24.0,38.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,3.0,6.0,20.0,11.0,6.0,11.0,26.0,3.0,2.0,0.0,0.0,0.0,22.0,13.0,8.0,13.0,25.0,2.0,3.0,0.0,12.0,3.0,212.0,88.0,6.0,4.0,2.0,24.0,15.0,15.0,30.0,0.0,0.0,99.0,81.0,0.0,0.0,15.0,2.0,2.0,3.0,12.0,84.0,15.0,0.0,252.0,89.0,0.0,1.0,0.0,0.21546466648578644,2.0,268.4348,31.571008682250977,25207.740234375,0.9340014327317476,1.0,DF,81.81818181818183
382739,Marcos LLORENTE,43969,Spain,ESP,Defender,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.423106849193573,1.0,0.0,0.0,6.0,2.0,43.0,12.0,3.0,0.0,2463.540069580078,544.4499987363815,8950.709655761719,1090.4799728393555,9187.210021972656,55.0,66.0,12.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,11.0,7.0,7.0,11.0,26.0,5.0,4.0,0.0,0.0,5.0,18.0,15.0,11.0,13.0,19.0,0.0,0.0,4.0,15.0,3.0,324.0,123.0,12.0,19.0,16.0,22.0,15.0,42.0,57.0,0.0,0.0,152.0,142.0,0.0,0.0,19.0,22.0,3.0,2.0,33.0,112.0,35.0,0.0,218.0,94.0,1.0,0.0,1.0,0.2154450286179781,12.0,217.34131666666667,32.582191467285156,22236.389892578125,0.0,0.0,DF,93.42105263157895
506329,Djed SPENCE,43942,England,ENG,Defender,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,18.0,0.0,5.990734100341797,13.0,0.0,0.0,9.0,0.0,135.0,28.0,3.0,0.0,4839.470077514648,1799.679973602295,16595.450073242188,2317.529983520508,20078.509643554688,89.0,130.0,25.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4.0,5.0,20.0,13.0,8.0,11.0,59.0,17.0,11.0,9.0,13.0,0.0,45.0,35.0,30.0,36.0,45.0,2.0,3.0,0.0,27.0,8.0,439.0,196.0,13.0,44.0,61.0,64.0,36.0,133.0,169.0,0.0,0.0,201.0,177.0,0.0,0.0,66.0,25.0,10.0,15.0,55.0,131.0,70.0,0.0,417.0,214.0,4.0,3.0,5.0,1.2959415465593338,31.0,476.1069333333333,36.22447204589844,45630.63916015625,0.7105324640870094,0.0,DF,88.05970149253731
395212,NELSON SEMEDO,43963,Portugal,POR,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.019832515716553,5.0,0.0,0.0,5.0,0.0,31.0,3.0,0.0,0.0,2237.660125732422,703.2099838256836,6585.9801025390625,1033.6900177001953,6069.859924316406,40.0,56.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,3.0,15.0,11.0,10.0,10.0,28.0,3.0,0.0,0.0,1.0,0.0,23.0,17.0,16.0,18.0,27.0,0.0,1.0,0.0,14.0,4.0,196.0,75.0,6.0,18.0,25.0,9.0,26.0,26.0,52.0,0.0,0.0,91.0,84.0,0.0,0.0,21.0,7.0,3.0,3.0,23.0,66.0,26.0,0.0,196.0,79.0,4.0,0.0,3.0,1.3613133672624826,8.0,164.07330000000002,35.895347595214844,16630.400146484375,0.0,1.0,DF,92.3076923076923
511015,Nathaniel BROWN,43948,Germany,GER,Defender,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,4.932007789611816,5.0,0.0,11.0,19.0,6.0,64.0,21.0,0.0,0.0,4239.6796875,823.2000579833984,15598.220703125,1743.3600158691406,12390.2294921875,58.0,86.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,8.0,5.0,4.0,5.0,24.0,6.0,4.0,2.0,3.0,1.0,18.0,15.0,13.0,14.0,19.0,1.0,0.0,1.0,11.0,3.0,304.0,139.0,14.0,60.0,55.0,37.0,62.0,90.0,152.0,0.0,0.0,131.0,115.0,0.0,0.0,52.0,41.0,8.0,7.0,58.0,73.0,65.0,0.0,354.0,129.0,0.0,1.0,2.0,1.9986510872840881,10.0,319.2588166666667,33.81826400756836,34794.6904296875,0.20554723590612411,0.0,DF,87.78625954198473
369744,Gustavo GOMEZ,43928,Paraguay,PAR,Defender,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.316272354125976,0.0,0.0,0.0,0.0,0.0,31.0,10.0,8.0,0.0,3871.4400024414062,598.1999702453613,17731.680419921875,1452.0500030517578,25429.3408203125,11.0,20.0,9.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,4.0,8.0,6.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,6.0,6.0,0.0,2.0,0.0,1.0,5.0,188.0,74.0,5.0,2.0,1.0,6.0,6.0,3.0,9.0,1.0,0.0,91.0,80.0,0.0,0.0,3.0,3.0,1.0,4.0,3.0,79.0,7.0,0.0,342.0,109.0,0.0,0.0,0.0,0.31968103908002377,0.0,554.4526166666667,32.33555221557617,49082.7119140625,0.06780417636036873,0.0,DF,87.91208791208791
356532,Chancel MBEMBA,20014,Congo DR,COD,Defender,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,5.400306701660156,4.0,3.0,0.0,4.0,0.0,23.0,12.0,11.0,0.0,4060.0399169921875,511.78002166748047,13862.2998046875,1584.419921875,16885.9697265625,46.0,74.0,9.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,92.0,2.0,22.0,48.0,31.0,20.0,24.0,56.0,7.0,3.0,1.0,1.0,4.0,37.0,22.0,9.0,9.0,46.0,0.0,11.0,2.0,27.0,4.0,340.0,156.0,6.0,2.0,1.0,32.0,12.0,23.0,35.0,0.0,0.0,162.0,130.0,0.0,0.0,25.0,11.0,0.0,4.0,31.0,119.0,35.0,0.0,347.0,135.0,0.0,0.0,2.0,0.3210132010281086,2.0,409.64515,32.24974822998047,36904.5107421875,0.046135224401950836,1.0,DF,80.24691358024691
419473,JASSEM GABER,43834,Qatar,QAT,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.143459479014079,0.0,1.0,0.0,0.0,0.0,85.0,14.0,0.0,0.0,2504.9500732421875,113.46000289916992,7728.479736328125,757.8700561523438,5948.320068359375,18.0,22.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,5.0,1.0,0.0,0.0,4.0,3.0,69.0,25.0,2.0,5.0,41.0,15.0,47.0,14.0,61.0,0.0,0.0,32.0,25.0,0.0,0.0,17.0,5.0,0.0,0.0,18.0,14.0,18.0,0.0,232.0,55.0,0.0,3.0,0.0,0.42491514980793,1.0,166.995,28.50379753112793,17053.07958984375,0.0,1.0,DF,78.125
519958,Elliot STROUD,43970,Sweden,SWE,Defender,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.959373593330383,4.0,0.0,3.0,6.0,2.0,61.0,7.0,0.0,0.0,2881.500015258789,512.4400100708008,8312.159866333008,1312.2499923706055,7502.389533996582,27.0,41.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,2.0,6.0,2.0,1.0,2.0,13.0,6.0,3.0,2.0,3.0,1.0,12.0,8.0,6.0,7.0,19.0,0.0,1.0,1.0,11.0,4.0,115.0,57.0,5.0,9.0,19.0,9.0,10.0,27.0,37.0,0.0,0.0,49.0,38.0,0.0,0.0,9.0,10.0,0.0,1.0,20.0,32.0,21.0,0.0,251.0,94.0,2.0,2.0,3.0,0.6844564229249954,4.0,183.67756666666665,32.799015045166016,20520.73974609375,0.08843065798282623,0.0,DF,77.55102040816327
