group,n,mean,sd,standard_error,df,t_critical,ci_lower,ci_upper
FW,30,37.3448495948496,24.31950633029611,4.440114068164288,29,2.045229642132704,28.26379668818957,46.425902501509626
MF,30,31.774170274170274,20.044712816718224,3.659647122809829,29,2.045229642132704,24.289351498853947,39.2589890494866
