group,n,mean,median,standard_deviation,variance,minimum,Q1,Q3,IQR,maximum,range
DF,30,86.36147801209653,87.84917372703632,6.784984498875388,46.0360146499793,74.02597402597402,80.71095571095572,92.23076923076923,11.51981351981351,96.51162790697676,22.485653881002733
MF,30,87.86974426548127,87.63736263736263,5.212794332331236,27.173224751184655,78.78787878787878,83.4915611814346,91.96648426812585,8.474923086691248,97.67441860465115,18.88653981677237
