group,n,mean,sd,standard_error,df,t_critical,ci_lower,ci_upper
DF,30,86.36147801209653,6.784984498875388,1.238763020785645,29,2.045229642132704,83.82792316240787,88.89503286178518
MF,30,87.86974426548127,5.212794332331236,0.9517216811509664,29,2.045229642132704,85.92325487213094,89.8162336588316
