group,n,mean,median,standard_deviation,variance,minimum,Q1,Q3,IQR,maximum,range
FW,30,37.3448495948496,38.75,24.31950633029611,591.4383881493126,0.0,17.5,51.630434782608695,34.130434782608695,100.0,100.0
MF,30,31.774170274170274,33.33333333333333,20.044712816718224,401.79051190470784,0.0,20.0,33.33333333333333,13.333333333333329,75.0,75.0
